asr,degradation,snr_db,llm,outcome_col,n,outcome_median,outcome_lo,outcome_hi,absorption_median,absorption_lo,absorption_hi,retention_median,retention_lo,retention_hi,gain_paired_median,gain_paired_lo,gain_paired_hi,gain_ceiling_median,gain_ceiling_lo,gain_ceiling_hi,gain_legacy_median,gain_legacy_lo,gain_legacy_hi,gain_median,tsa_median,gain_crit_minus_func_median,gain_lo,tsa_lo,gain_crit_minus_func_lo,gain_hi,tsa_hi,gain_crit_minus_func_hi
whisper-base-mlx,farfield,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4326923076923077,0.38215144230769227,0.47836538461538464,0.32903225806451614,0.27456805169774956,0.38312362557570223,0.7816653934300993,0.7067448031844317,0.8571428571428571,0.129219673381129,0.05268388803238704,0.19828556419298896,-0.07527677735100508,-0.14870283266009462,-0.008529633551976362,-0.3723676315416944,-0.4269132248333324,-0.3172437601419035,0.129219673381129,0.4326923076923077,0.19439714468610253,0.05268388803238704,0.38215144230769227,0.061235676490468516,0.19828556419298896,0.47836538461538464,0.3271202508258719
whisper-base-mlx,farfield,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4495192307692308,0.39903846153846156,0.4951923076923077,0.3402777777777778,0.28618259662115253,0.3965054179566563,0.897196261682243,0.8288151788151787,0.9464285714285714,0.22047588138040664,0.1550471214007526,0.2784652852073763,-0.06914346707316549,-0.13891447506026536,-0.00034683544222766734,-0.3706328140985401,-0.4283457507914884,-0.31423212019266694,0.22047588138040664,0.4495192307692308,0.10933474548167776,0.1550471214007526,0.39903846153846156,-0.009647369288014672,0.2784652852073763,0.4951923076923077,0.22570243042805016
whisper-base-mlx,noise,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.11538461538461539,0.08653846153846154,0.1466346153846154,0.09457825959715489,0.06766917293233082,0.12346380471380466,0.18681318681318682,0.13114110376791693,0.24324681824681824,-0.08461942924962972,-0.13207297023963682,-0.03745521410794789,-0.04138941726644483,-0.09993777097250112,0.018934679137209132,-0.15210883961569385,-0.18339384108272014,-0.12070775558168517,-0.08461942924962972,0.11538461538461539,0.04858749595663381,-0.13207297023963682,0.08653846153846154,-0.0437115241089332,-0.03745521410794789,0.1466346153846154,0.14499636880475253
whisper-base-mlx,noise,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.3293269230769231,0.28365384615384615,0.37259615384615385,0.2594206064476017,0.21507983823897273,0.30706974637681156,0.5359477124183006,0.4585920912951168,0.615957012095456,0.04467826738331776,-0.01872225672304176,0.10505685072801181,-0.03168845691814373,-0.09350285162532224,0.03264410344564929,-0.27127585456502007,-0.3171003930620226,-0.2253657462816911,0.04467826738331776,0.3293269230769231,0.07704946135273494,-0.01872225672304176,0.28365384615384615,-0.04857084501886612,0.10505685072801181,0.37259615384615385,0.20523242616312642
whisper-base-mlx,noise,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.44471153846153844,0.39903846153846156,0.49278846153846156,0.35403726708074534,0.3035071627331753,0.409375,0.7634975711311589,0.6859504132231405,0.8360655737704918,0.1588421087251496,0.09745805063529536,0.21476395291492525,-0.04357975190150998,-0.10989687816971037,0.025295944394640404,-0.3015964071895153,-0.351513773151649,-0.24897297001897692,0.1588421087251496,0.44471153846153844,0.16553828300386092,0.09745805063529536,0.39903846153846156,0.058145270368222576,0.21476395291492525,0.49278846153846156,0.2774146507616119
whisper-base-mlx,reverb,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.07932692307692307,0.055288461538461536,0.10576923076923077,0.07524271844660194,0.05301204819277108,0.10194174757281553,0.12060301507537688,0.07731958762886598,0.1691542288557214,-0.09256089070195138,-0.13544841491214127,-0.04993904240848955,-0.024182004057323875,-0.1346230034290937,0.08695652173913043,-0.13151474097625732,-0.16023248643252794,-0.103311759554571,-0.09256089070195138,0.07932692307692307,-0.039567940797701914,-0.13544841491214127,0.055288461538461536,-0.13022980698214875,-0.04993904240848955,0.10576923076923077,0.04507188226789693
whisper-base-mlx,reverb,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.25240384615384615,0.21153846153846154,0.2956730769230769,0.19946091644204852,0.1583294235924933,0.24266666666666667,0.37037037037037035,0.29746021699819164,0.44805754590237346,-0.08494486702060189,-0.14871634931741462,-0.026102869104613815,-0.08873882067896738,-0.15938151898727104,-0.018293598428350377,-0.2702343916190272,-0.3156090097963087,-0.22922013208588773,-0.08494486702060189,0.25240384615384615,-0.03559079770891255,-0.14871634931741462,0.21153846153846154,-0.1569013913748844,-0.026102869104613815,0.2956730769230769,0.08470038908053579
whisper-base-mlx,reverb,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4423076923076923,0.3942307692307692,0.4879807692307692,0.35514018691588783,0.30434782608695654,0.40694284356547766,0.7312178602784397,0.6528838072559182,0.8050903704814759,0.13363624523600232,0.06397700243807014,0.19777027654538795,-0.026456977108363006,-0.0902964635233464,0.04144952688208512,-0.2832749074617105,-0.3362587038552433,-0.23225872620315718,0.13363624523600232,0.4423076923076923,0.12249210836846636,0.06397700243807014,0.3942307692307692,-0.012938841005452536,0.19777027654538795,0.4879807692307692,0.2560364411364975
whisper-large-v3-turbo,babble,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.28365384615384615,0.24032451923076925,0.3269230769230769,0.2136986301369863,0.1725909499214013,0.2558235633288487,0.3555000261656811,0.29440119838819406,0.4224617760036153,-0.06820409935101701,-0.11794083196319147,-0.013997638829782378,-0.07996159232961171,-0.13954747731462086,-0.017613600228857385,-0.2681285730101596,-0.3120081161545476,-0.22564687140240097,-0.06820409935101701,0.28365384615384615,-0.06097082255690908,-0.11794083196319147,0.24032451923076925,-0.17735185205651194,-0.013997638829782378,0.3269230769230769,0.05306176334660843
whisper-large-v3-turbo,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.49278846153846156,0.44711538461538464,0.5432692307692307,0.3584905660377358,0.3027836991517326,0.4166823308270676,0.676923076923077,0.5916637323943662,0.7567772317772317,0.023903564363635887,-0.04797882313246578,0.09787497662186188,-0.08860260680480075,-0.15631354753242152,-0.014269675273299625,-0.4116037151192007,-0.4694337357210998,-0.3532860999911219,0.023903564363635887,0.49278846153846156,0.17217091749803776,-0.04797882313246578,0.44711538461538464,0.03139981945583612,0.09787497662186188,0.5432692307692307,0.3134106833297444
whisper-large-v3-turbo,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5408653846153846,0.49278846153846156,0.5865384615384616,0.4067480394636985,0.3407031965212084,0.4684693551819536,0.8363636363636363,0.7606770833333333,0.9009009009009009,0.145412308335028,0.07959159073139324,0.2067205576078182,-0.0737405930334418,-0.14375548966473445,0.0037411486518140217,-0.39741714361537905,-0.4592999513041518,-0.3364669568118337,0.145412308335028,0.5408653846153846,0.12279419782441281,0.07959159073139324,0.49278846153846156,-0.015101836387222883,0.2067205576078182,0.5865384615384616,0.2501095545542275
whisper-large-v3-turbo,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5649038461538461,0.5192307692307693,0.6129807692307693,0.43516581434991475,0.3700366490208418,0.5022031326480666,,,,,,,-0.05103448748195996,-0.1290509864976689,0.02806825858315896,-0.3897136775007707,-0.4562483535019002,-0.32439573564406826,,0.5649038461538461,,,0.5192307692307693,,,0.6129807692307693,
whisper-large-v3-turbo,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5120192307692307,0.46153846153846156,0.5576923076923077,0.3897348309402501,0.33330291970802917,0.45290567497150297,0.7338129496402878,0.6583333333333333,0.81061649964209,0.048560119073560004,-0.020993661914581005,0.11402111341274304,-0.07144824530202523,-0.1402577483806174,0.005918443198203681,-0.38008829796215937,-0.43804597306168386,-0.31882097938833565,0.048560119073560004,0.5120192307692307,0.19648640035457982,-0.020993661914581005,0.46153846153846156,0.06265865067996342,0.11402111341274304,0.5576923076923077,0.33162971229587906
whisper-large-v3-turbo,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5600961538461539,0.5096153846153846,0.6057692307692307,0.4279661016949153,0.36086956521739133,0.48684577382117,0.896551724137931,0.83,0.9468225083986561,0.17664024445445348,0.11347844694987543,0.23678602284720543,-0.05951950743352011,-0.1352701218938373,0.01365623033627722,-0.38200165561653787,-0.45060607111620204,-0.3233412965088391,0.17664024445445348,0.5600961538461539,0.09448600278979646,0.11347844694987543,0.5096153846153846,-0.02576650859701,0.23678602284720543,0.6057692307692307,0.21023595999329792
whisper-large-v3-turbo,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.5793269230769231,0.53125,0.6250600961538458,0.4541284403669725,0.3883792973965287,0.5159932932469933,0.98,0.9473684210526315,1.0,0.24391457335746225,0.19690196795855164,0.29012341346828097,-0.04119183632581644,-0.11578772000001618,0.03795081584774911,-0.3811558211749788,-0.44632094154014396,-0.3198177169876072,0.24391457335746225,0.5793269230769231,0.061970214747895325,0.19690196795855164,0.53125,-0.021715067672018522,0.29012341346828097,0.6250600961538458,0.14463836201777483
